sentence1	sentence2	paraphrase_types	sentence1_segment_location	sentence2_segment_location	sentence1_tokenized	sentence2_tokenized	id
"Amrozi accused his brother, whom he called ""the witness"", of deliberately distorting his evidence."	"Referring to him as only ""the witness"", Amrozi accused his brother of deliberately distorting his evidence."	[2, 6, 7, 0, 0, 0, 0]	[7, 7, 7, 7, 0, 2, 0, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]	[2, 2, 2, 0, 7, 0, 0, 0, 0, 0, 7, 7, 7, 7, 0, 0, 0, 0, 0, 0]	"['Amrozi', 'accused', 'his', 'brother', ',', 'whom', 'he', 'called', '``', 'the', 'witness', ""''"", ',', 'of', 'deliberately', 'distorting', 'his', 'evidence', '.']"	"['Referring', 'to', 'him', 'as', 'only', '``', 'the', 'witness', ""''"", ',', 'Amrozi', 'accused', 'his', 'brother', 'of', 'deliberately', 'distorting', 'his', 'evidence', '.\n']"	2317539b4e5a4160a253d5199685955c
They had published an advertisement on the Internet on June 10, offering the cargo for sale, he added.	On June 10, the ship's owners had published an advertisement on the Internet, offering the explosives for sale.	[2, 6, 7, 0, 0, 0, 0]	[2, 0, 0, 0, 0, 0, 0, 0, 7, 7, 7, 0, 0, 0, 2, 0, 0, 7, 7, 7, 0]	[7, 7, 7, 7, 2, 2, 2, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7]	['They', 'had', 'published', 'an', 'advertisement', 'on', 'the', 'Internet', 'on', 'June', '10', ',', 'offering', 'the', 'cargo', 'for', 'sale', ',', 'he', 'added', '.']	"['On', 'June', '10', ',', 'the', 'ship', ""'s"", 'owners', 'had', 'published', 'an', 'advertisement', 'on', 'the', 'Internet', ',', 'offering', 'the', 'explosives', 'for', 'sale', '.\n']"	eaab3036395f4bcc9c9c93d678c622a1
The stock rose $2.11, or about 11 percent, to close Friday at $21.51 on the New York Stock Exchange.	PG&E Corp. shares jumped $1.63 or 8 percent to $21.03 on the New York Stock Exchange on Friday.	[2, 3, 5, 6, 7, 0, 0]	[2, 2, 2, 6, 6, 0, 6, 7, 6, 6, 0, 2, 2, 7, 2, 6, 6, 6, 6, 6, 6, 6, 6, 6]	[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]	['The', 'stock', 'rose', '$', '2.11', ',', 'or', 'about', '11', 'percent', ',', 'to', 'close', 'Friday', 'at', '$', '21.51', 'on', 'the', 'New', 'York', 'Stock', 'Exchange', '.']	['PG', '&', 'E', 'Corp.', 'shares', 'jumped', '$', '1.63', 'or', '8', 'percent', 'to', '$', '21.03', 'on', 'the', 'New', 'York', 'Stock', 'Exchange', 'on', 'Friday', '.\n']	90fe3baf95d84645956219234f72694b
Revenue in the first quarter of the year dropped 15 percent from the same period a year earlier.	With the scandal hanging over Stewart's company, revenue the first quarter of the year dropped 15 percent from the same period a year earlier.	[3, 6, 7, 0, 0, 0, 0]	[7, 3, 3, 3, 3, 3, 3, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]	[7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 3, 3, 3, 3, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	['Revenue', 'in', 'the', 'first', 'quarter', 'of', 'the', 'year', 'dropped', '15', 'percent', 'from', 'the', 'same', 'period', 'a', 'year', 'earlier', '.']	"['With', 'the', 'scandal', 'hanging', 'over', 'Stewart', ""'s"", 'company', ',', 'revenue', 'the', 'first', 'quarter', 'of', 'the', 'year', 'dropped', '15', 'percent', 'from', 'the', 'same', 'period', 'a', 'year', 'earlier', '.\n']"	4c02bbf5f56c447e97a0d8f40b358777
The DVD-CCA then appealed to the state Supreme Court.	The DVD CCA appealed that decision to the U.S. Supreme Court.	[2, 6, 7, 0, 0, 0, 0]	[7, 2, 7, 7, 7, 7, 2, 7, 7, 7]	[7, 2, 2, 7, 7, 7, 7, 7, 2, 7, 7, 7]	['The', 'DVD-CCA', 'then', 'appealed', 'to', 'the', 'state', 'Supreme', 'Court', '.']	['The', 'DVD', 'CCA', 'appealed', 'that', 'decision', 'to', 'the', 'U.S.', 'Supreme', 'Court', '.\n']	caa60b82bf5e4c66afefab9098f26896
He said the foodservice pie business doesn't fit the company's long-term growth strategy.	"""The foodservice pie business does not fit our long-term growth strategy."	[2, 5, 6, 7, 0, 0, 0]	[7, 7, 6, 6, 6, 6, 2, 2, 6, 2, 2, 2, 6, 6, 6, 6]	[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 7]	"['He', 'said', 'the', 'foodservice', 'pie', 'business', 'does', ""n't"", 'fit', 'the', 'company', ""'s"", 'long-term', 'growth', 'strategy', '.']"	['``', 'The', 'foodservice', 'pie', 'business', 'does', 'not', 'fit', 'our', 'long-term', 'growth', 'strategy', '.\n']	d5e35247e09b4fb1a22aa38f0f1a804b
But he added group performance would improve in the second half of the year and beyond.	De Sole said in the results statement that group performance would improve in the second half of the year and beyond.	[2, 5, 6, 7, 0, 0, 0]	[7, 5, 5, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]	[5, 5, 5, 7, 7, 7, 7, 5, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]	['But', 'he', 'added', 'group', 'performance', 'would', 'improve', 'in', 'the', 'second', 'half', 'of', 'the', 'year', 'and', 'beyond', '.']	['De', 'Sole', 'said', 'in', 'the', 'results', 'statement', 'that', 'group', 'performance', 'would', 'improve', 'in', 'the', 'second', 'half', 'of', 'the', 'year', 'and', 'beyond', '.\n']	9b8421e646a94a2aaa623ce01a5851f7
He told The Sun newspaper that Mr. Hussein's daughters had British schools and hospitals in mind when they decided to ask for asylum.	"""Saddam's daughters had British schools and hospitals in mind when they decided to ask for asylum -- especially the schools,"" he told The Sun."	[2, 5, 6, 7, 0, 0, 0]	[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]	[0, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 6, 6, 2, 2, 6]	"['He', 'told', 'The', 'Sun', 'newspaper', 'that', 'Mr.', 'Hussein', ""'s"", 'daughters', 'had', 'British', 'schools', 'and', 'hospitals', 'in', 'mind', 'when', 'they', 'decided', 'to', 'ask', 'for', 'asylum', '.']"	"['``', 'Saddam', ""'s"", 'daughters', 'had', 'British', 'schools', 'and', 'hospitals', 'in', 'mind', 'when', 'they', 'decided', 'to', 'ask', 'for', 'asylum', '--', 'especially', 'the', 'schools', ',', ""''"", 'he', 'told', 'The', 'Sun', '.\n']"	4dae28343b7e4cf5806db8ef7d9f3ab9
"Sheena Young of Child, the national infertility support network, hoped the guidelines would lead to a more ""fair and equitable"" service for infertility sufferers."	"Sheena Young, a spokesman for Child, the national infertility support network, said the proposed guidelines should lead to a more ""fair and equitable"" service for infertility sufferers."	[2, 4, 6, 7, 0, 0, 0]	[7, 7, 4, 4, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 0, 0, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]	[4, 4, 4, 4, 4, 4, 4, 4, 0, 0, 0, 0, 0, 0, 2, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	"['Sheena', 'Young', 'of', 'Child', ',', 'the', 'national', 'infertility', 'support', 'network', ',', 'hoped', 'the', 'guidelines', 'would', 'lead', 'to', 'a', 'more', '``', 'fair', 'and', 'equitable', ""''"", 'service', 'for', 'infertility', 'sufferers', '.']"	"['Sheena', 'Young', ',', 'a', 'spokesman', 'for', 'Child', ',', 'the', 'national', 'infertility', 'support', 'network', ',', 'said', 'the', 'proposed', 'guidelines', 'should', 'lead', 'to', 'a', 'more', '``', 'fair', 'and', 'equitable', ""''"", 'service', 'for', 'infertility', 'sufferers', '.\n']"	87f7ca4978b8455da74ccd888e8a1be3
The new Finder puts a user's folders, hard drive, network servers, iDisk and removable media in one location, providing one-click access.	Panther's redesigned Finder navigation tool puts a user's favourite folders, hard drive, network servers, iDisk and removable media in one location.	[2, 6, 7, 0, 0, 0, 0]	[0, 2, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]	[7, 7, 2, 2, 2, 2, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	"['The', 'new', 'Finder', 'puts', 'a', 'user', ""'s"", 'folders', ',', 'hard', 'drive', ',', 'network', 'servers', ',', 'iDisk', 'and', 'removable', 'media', 'in', 'one', 'location', ',', 'providing', 'one-click', 'access', '.']"	"['Panther', ""'s"", 'redesigned', 'Finder', 'navigation', 'tool', 'puts', 'a', 'user', ""'s"", 'favourite', 'folders', ',', 'hard', 'drive', ',', 'network', 'servers', ',', 'iDisk', 'and', 'removable', 'media', 'in', 'one', 'location', '.\n']"	048254f033694820a7d8c820d06df0d4
