id	sentence1	sentence2	similarity
b8745bba-26cf-456a-813b-9f0cdba13f72	A black and white cow looking through the fence.	A black and white cat laying on the ground in the sun.	0.6
2a68607d-8733-4de2-af06-874758dd1001	A black and a yellow dog	A black dog and a brown-and-white dog play in a field.	2.2
2e64d23b-5ed1-417b-8682-77499565a4df	For the full 12-month period ending June 30, 2003, advanced services lines for ADSL increased by 37 percent and cable modem connections increased by 75 percent.	For the 12-month period ending June 30, high-speed lines installed in homes and businesses increased by 45 percent.	1.8
dfe413df-bc76-4b6b-a679-037ff4503b7f	The skateboarder gets to the top of the ramp.	The skateboarder rides the pipe wall at a skater park.	2.4
3f35c32e-daef-482f-912c-43d36de76dac	Egypt's Brotherhood stands ground after killings	Egypt: Muslim Brotherhood Stands Behind Morsi	2.4
781b3858-c373-4534-a856-b150b306abcc	chinese foreign ministry spokeswoman jiang yu stated that cyber hacking is a global issue.	chinese foreign ministry spokesman qin gang was asked to respond to cheney's speech on china's military development.	2.2
b2020b7f-35c0-469f-987b-f6ea7c398c7d	While waiting for a bomb squad to arrive, the bomb exploded, killing Wells.	The bomb exploded while authorities waited for a bomb squad to arrive.	3.25
07bff929-b3b2-4dc4-95ec-fb0e1bf6d201	The consumer group generated $4.47 billion of profit and $20 billion of revenue from January to June, 53% of Citigroup's profit and revenue.	It generated $4.47 billion of profit and $20 billion of revenue in the year's first half, 53 percent of Citigroup's totals.	3.8
5cb128f6-9625-420f-a384-be64d68df610	A man uses a chainsaw to sculpt a phallic ice sculpture.	A man is using a chainsaw to carve a wooden sculpture.	2.6
86558691-8d0f-4d16-834c-162ce6f8cb05	A yellow school bus is parked in a rural area.	A yellow school bus parked in a field.	4.0
e51e7a9c-48ba-4d9c-a635-e413e70df3ae	A submarine is going through water.	A baby is falling asleep.	0.0
8ce5f079-266f-46ce-9fe8-9ee325c8c350	And I'm your friend Mitt.	Your good friend Mitt.	4.0
4a2fd462-c665-4997-9a8f-cf4d19c5397e	Afghan legislators approve new election law	Afghan president approves new electon law	2.6
cbd3d010-65ab-490c-a5a0-9225fc9a24e4	The lawsuit names Shelley, a Democrat, and registrars in Los Angeles, Orange and San Diego counties.	The lawsuit named Secretary of State Kevin Shelley, a Democrat, and the registrars of voters in Los Angeles, Orange and San Diego counties.	4.2
7594ecca-7d22-4dd2-a1cd-2fafc87a9662	Clinton warns Kenya of cost of election violence	Clinton warns Kenya on cost of election unrest	4.6
4e1656e2-d0e8-40e6-8b6e-0862b05da36c	Two cats sitting on a couch looking out the window.	Two cats are looking at a window.	3.6
34e06e8f-fe9b-49e4-8bc5-11da2d1d805b	Donetsk Region Protesters Detain Trucks Carrying Government Rocket Ammo	Come and get me, says Thai protest leader as anti-government riots grow	0.8
b8e5d5e6-91b5-4543-b698-b437b6c263b4	"From Broadway comedies like ""The Seven Year Itch"" (1952), ""Will Success Spoil Rock Hunter?"""	Playwright George Axelrod, who anticipated the sexual revolution with The Seven Year Itch and Will Success Spoil Rock Hunter?	2.0
779f288f-53ad-48ad-a937-fdaeaad3a5e1	ICC jails Congolese warlord for 14 years over child soldiers	Congolese warlord sentenced to 14 years in landmark case - video	3.2
80acafc0-445e-4826-87af-6b6e499b848e	A man is riding a mechanical bull.	A man rode a mechanical bull.	4.0
ec84e2e1-bb33-44a6-85a4-4d907ad2c03f	Britain shuts down plants as horse meat scandal reaches France	EU ministers 'determined' to resolve horsemeat scandal	3.0
cf9e7322-ddc5-45e6-b15b-4dcf89ea8390	Workers killed in India building collapse	76 killed in Bangladesh building collapse	3.0
47713b31-585d-499c-8a68-fee3d192d526	A group of four children dancing in a backyard.	A group of children do stretches on colored mats.	1.6
053847b5-421e-4069-848e-3ca74026538f	You are safe to use the bottles as long as they have been properly sterilised.	I would say it's completely safe so long as the bottles have been adequately rinsed to remove any detergent residue.	3.8
da5ddfde-c55f-4815-bd72-b7c6f5309925	The router will be available in the first quarter of 2004 and will cost around $200, the company said.	Netgear prices the WGT634U Super Wireless Media Router, which will be available in the first quarter of 2004, at under $200.	3.0
8f6d459b-efae-4568-af63-b9cc27b7fbea	Space legend Neil Armstrong dies	First man on moon Neil Armstrong dies at 82	4.0
e3ed2937-9cf9-4309-ae33-7a281e04a40f	You got it right.	You've got it right.	5.0
dacdc5bb-bd62-4592-bfc0-fe46926c88ee	A man is riding a bicycle on a dirt path.	Two dogs running along dirt path.	1.6
dafac535-4cc8-4e63-b800-4ea29d52b83c	The broad Standard & Poor's 500 Index <.SPX> was up 8.79 points, or 0.96 percent, at 929.06.	The technology-laced Nasdaq Composite Index <.IXIC> jumped 26 points, or 1.78 percent, to 1,516.	1.0
cc9055bc-dfc5-400f-83fd-3005e6a8b1a2	A man is cleaning a fish on a kitchen counter.	A man is playing a flute.	0.8
f3807feb-41a7-4bf6-a9ba-e133676949ed	A group of people are in the water.	A group of people ride in a race	0.6
b5463ed4-a9b8-46a3-9ad6-2190d1ac7a6f	Brown and white cow standing in grass at side of road.	A brown and white cow standing in a grassy area with trees behind.	3.6
3d8ebba7-c522-4ac4-b3b4-7b6862b5f55b	A woman is playing the flute.	A girl is playing a flute.	3.8
07952743-2dcd-4bb1-a8a8-7ae0a15a1586	Two Kenyan ministers among 6 killed in plane crash	Poland honors president killed in 2010 plane crash	0.8
8db634ad-8805-4665-bc3b-92040505279a	A baby elephant is eating a small tree.	A little girl peddling a scooter.	0.0
c22a9f31-845d-4f7b-a0fe-f0520d1a6212	A woman is slicing big pepper.	A man is playing an instrument.	0.0
7431924d-fa78-49e9-809c-4ed4af971c28	A brown and white dog sits on a floral-patterned chair.	A small orange and white dog with a collar and a bell relaxes on a flower print pillow.	1.8
7afb8545-121e-4a8b-8bf7-d69d90c8f6c9	Microsoft fell 5 percent before the open to $27.45 from Thursday's close of $28.91.	Shares in Microsoft slipped 4.7 percent in after-hours trade to $27.54 from a Nasdaq close of $28.91.	3.0
99a2d16b-4bb5-408f-9f9b-cc0e1782fc26	A man is slicing cucumber with a knife.	A man is cooking a tortilla in a skillet.	0.75
3fe4919b-0499-4ba4-8a75-781bf96abce1	Colin Powell, the Secretary of State, said contacts with Iran would not stop.	Secretary of State Colin Powell said yesterday that contacts with Iran would continue.	4.333
d9975ac3-1127-4d58-851b-3151d41c903e	A boy plays violin on stage.	A boy is onstage playing the violin.	4.25
57fb562e-285b-4bb5-ae59-762931deca95	Two dogs swim in a pool.	Dogs are swimming in a pool.	4.2
75736b0a-a54c-4bfd-8d60-75a3a2f4a85e	A woman is cutting an onion.	A woman is chopping onions.	4.8
f33dc575-e179-4259-b7f8-a44fad965648	Pakistani PM shocked at avalanche trapping army personnel	Pakistan avalanche: rescuers search for buried soldiers	2.4
a535b76d-ef46-47bd-8188-2fcc928f8cdc	China stock index futures close lower -- April 23	China stock index futures close higher -- Dec. 4	2.2
cc6be8f8-e5ed-4ba6-a8d4-c8d8177a0759	2 dead, 2 injured in Nevada middle school shooting	Nevada: 2 dead, 2 hurt in middle school shooting	5.0
68e13850-2a54-4804-8d7a-cf064f118cb5	French forces take key Mali town	French forces seize key town	3.8
b64f8d70-e744-4f64-922e-d65c82e23838	A girl in a riding hat on a horse.	A girl riding a tan horse.	3.8
40c685c9-d0cb-453b-8938-a036900c3e70	"So was Edie Falco, the critically praised co-star of ""Frankie and Johnny."""	"Edie Falco was not nominated for ""Frankie and Johnny."""	2.4
7797396e-7f1a-4f99-aed3-4f3f4da5ee3f	Public employees can unionize because the law allows them to.	The legal reasons why public employees can unionize have been elsewhere described.	3.6
0ce5d5a5-9620-495f-b4b6-ff96e9f7b1dd	A young boy riding a bike on a brick road	A person does tricks on a bike on a ramp surrounded by trees.	2.2
ca35b90a-eafe-48e7-b23c-e06c3b90fc75	I just hold the cheese closer to the edge away from the grater.	"By the wording of the question, I'm pretty sure you're using one of those pyramidal graters or a ""sheet"" grater."	1.4
937c2a4c-5f7a-414d-878a-fda03258e05e	Cuba's 'Ladies' to pick up EU prize 8 years late	Cuba's 'Ladies' to Pick Up EU Prize 8 Years Later	5.0
5f7418f0-83ee-4dba-a844-3451fe6c7066	Iran, IAEA Officials Meet Ahead of March Nuclear Deadline	Iran, IAEA officials meet ahead of March nuclear deadline: ISNA	5.0
2167ee47-c63f-487b-a030-fd3bc89178a4	A man is adding oil to car.	A man is putting anti-freeze into a car.	2.0
a990067d-8882-4fd4-bf9f-3a2c822da240	A woman is adding oil to a pan.	A man is pouring oil into a pan.	3.0
16b394e6-1807-4edf-bc44-e2503a5f8323	Shortly after the opening bell, the Dow Jones Industrial Average was up 11.13 to 9,228.48, while the S&P 500 index gained 1.74 to 982.33.	After a weak start, the Dow Jones Industrial Average ended the day up 26.26 to 9,217.35, while the S&P 500 index rose 3 to 980.59.	1.6
7a64b73c-e041-4c51-bf6d-b57253d46739	I have no idea why it is voted up, but Rex Kerr's answer begs the question.	It's a tautology, but the mapping between logic and the English-language description is wrong.	0.0
7ba16826-fa36-42a8-bc28-129e2bdac7be	Long lines formed outside gas stations and people rushed to get money from cash machines Sunday as Israelis prepared to weather a strike that threatened to paralyze the country.	Long lines formed Sunday outside gas stations and people rushed to get money from cash machines as Israelis braced for the strike's effects.	4.5
05743cb2-4d62-4255-bb41-e8fd028d1b1c	The family owns Cheetahs strip clubs here and in Las Vegas.	The searches were conducted simultaneously with raids on strip clubs in San Diego and Las Vegas.	1.5
8b25c71a-2223-4f35-aa08-9ffac119086f	US drone strike kills 5 militants in Pakistan	Drone strike kills four suspected militants in Pakistan	3.0
36b69dc9-2278-40e9-9d49-ca44e7e22cb9	Anti-American Protests Over Film Expand to Nearly 20 Countries	Anti-American fury sweeps Middle East over film	3.8
63232a5e-78ec-40bb-bd1a-dc81f7d1bafb	Your worry is a valid one; the reader could be frustrated by this.	I don't believe not knowing a character's name would be confusing unless you make it so.	1.4
d00c9927-8a4e-4663-9efd-f31ac563ac4b	A black, brown and white dog running through a field.	A white and brown dog runs in a field.	2.83
63b7d63c-6605-4a77-8ea4-3c902fbde32b	Both rebels and government forces have been accused of pillaging villages in Liberia's countryside despite the peace agreement.	Both rebels and government forces, including those loyald to Taylor, have been accused of pillaging villages in Liberia's countryside despite a peace deal.	4.0
c210c5b4-b2b9-4e64-9e3f-78f2ed76851b	A black person in black and red is sleeping on a bench with an open black umbrella.	A man sitting up taking a nap on a park bench with an open umbrella protecting him from the sun.	3.6
c94dda32-e9e3-4bb3-9d86-94d858b5ef56	Red double decker bus on side of street.	A red double decker bus on a city street.	4.4
706fc774-6f43-493a-8784-3a56b5d348be	A pregnant woman is in labor	a woman has a child.	1.6
5cc244f8-12e2-460c-808b-6b376a6abfae	Bond bulls would like the Fed to recognize that risks are biased toward economic weakness.	The Fed also said the risks to the economy were biased toward weakness.	2.588
fbaf14cf-d56b-4f94-ac2e-bbd264c3d993	On the one hand, there’s nothing in canon to suggest that the Time Turners could go forwards in time.	Time Turners were explicitly mentioned for use in going back in time.	2.8
ee53b9de-e334-4716-8b26-3958588d1176	Girl accused of burning Koran goes into hiding	Girl accused of burning Koran bailed	3.2
99749f0b-f70f-4650-8e9e-e51be82296ef	Bomb blast rocks shopping mall in Nigeria, 12 killed	Bomb blasts before Indian opposition rally kill 4	1.4
020bdd81-ad8d-4b30-bd80-2a82de57d3f5	In Hinduism and Buddhism there is message of peace and an encouragement to not be materialistic.	"This relates to the ""discovery"" of Asian, and other non-European cultures by Americans."	0.0
eddaebb7-01ca-4384-83d4-426b4cdf8190	A train is at a train station.	The train sits at the train station.	4.2
5c4e0be6-4caa-4316-bb95-1b9bbbc58034	Five foreigners sentenced to death for drug smuggling in Egypt	Egypt sentences Pakistani amid 5 to death for drug smuggling	4.2
4d3d60dc-e450-44cc-8474-f9ca4594772b	A moped in front of steps of ruins.	A moped in front of ruins.	4.4
8ee10826-57a3-4505-a6ed-ca5f7cd9f650	saferworld team leader on transfer controls and small arms roy isbister stated-- the eu embargo prohibits direct or indirect supply of military equipment for use in myanmar.	saferworld team leader on transfer controls and small arms roy isbister stated that -- the eu embargo explicitly states that no military equipment should be supplied either directly or indirectly for use in myanmar.	5.0
4d73f0c6-53ff-4e0f-95ca-b7d6440441d3	Four civilians, three NATO soldiers killed in Afghanistan	Three NATO soldiers killed in Afghanistan	3.4
9e4c44af-5cc2-4045-8ec5-20c8f2ecd577	Six dogs running on the sandy beach.	Six dogs walking beside the beach.	3.4
ea10ed6d-4398-4c16-b995-b761a057d57e	A man is peeling a potato.	A man is slicing a potato.	2.6
5d69e4af-e4bb-4245-817c-ac4f93405f98	The Cradle of Liberty Council isn't the first one to buck the national group's stance.	Philadelphia's council is not the first to defy the national policy.	3.4
35350581-0e32-4e30-8a33-5647108fc972	Put a Little Love in your Heart We are all vessels filled with many wonders.	Landon And So This is Christmas We are all vessels filled with many wonders.	2.8
2e71ab7f-72e3-4a77-a88a-b4db48d0bbed	We both thought the movie was good and we didn't find it confusing in any way.	I thought it was good, and I didn't find it confusing.	3.2
6b1a44c6-349c-46a9-a0a9-9a7897b5523f	Hurricane Isaac Moves Inland After Landfall	Hurricane Isaac batters US coast near New Orleans	2.4
139e66c7-7c00-4a94-8529-9153f4e8ab55	The Commerce Commission would have been a significant hurdle for such a deal.	The New Zealand Commerce Commission had given Westpac no indication whether it would have approved its deal.	1.8
56f01bf7-2024-4a52-9983-5b765266cff2	GPS (wikipedia) is based on orbiting satellites and so is accurate worldwide.	GPS systems can, and do, work everywhere you can get satellites.	3.4
cff4161c-6485-4584-81af-7a156af11189	The government did not identify the taikonauts — a term coined from ‘‘taikong,’’ the Chinese word for space — who would travel on the second mission.	The government did not identify the taikonauts -- a term coined from taikong, the Chinese word for space.	3.333
60060a9a-603b-44c6-8380-17227c5dde4c	Kansas Department of Health and Environment records show there were 88 abortions performed on girls age 14 and younger last year.	Statistics from the Kansas Department of Health and Environment show that 11,844 abortions were performed in the state last year.	2.0
1adbba32-9d70-4d73-92c4-730f0b2c8ec6	Under NASD regulations, Mr. Young can file a response and request a hearing before an NASD panel.	The analyst, already let go by Merrill, can request a hearing before a NASD panel.	3.0
b0ab4a1e-61fb-4b73-8749-1b781dfd6b5e	Meteorite hits central Russia, more than 500 people hurt	Meteorite hits central Russia, 400 hurt	3.0
274ebe4e-3e27-45c1-8c22-46b985bf2643	Pro-Russia rebels downed Malaysian plane: Ukraine	Russia Preparing Counterproposals Over Ukraine	1.8
853e9424-3629-4b87-99d6-0b163e37944e	A person is peeling shrimp.	A person is preparing shrimp.	3.6
87b7e873-779c-46ec-9044-2552903e97b5	The woman in overalls paints a picture for her wall.	A woman is painting her wall white.	2.6
0d471ead-f40e-4d8c-9bed-7adb3efb1ea3	Headlines in major Iranian newspapers on Oct 4	Headlines in several Iranian newspapers on Oct 19	2.0
5bf80fc3-db89-4a0a-a2e8-7b05f24d7a4c	Yemen suicide attack kills 7 soldiers: officials	Afghan suicide car bomb kills at least seven: officials	1.6
c0ef2d6b-b359-4c3d-98d4-6561e5ef9a02	A woman is adding oil on fishes.	A woman is pouring water on fish.	2.25
da2c6c9a-1ce7-4d0c-a02c-69001f9c760e	A person is chopping coriander leaves.	A woman is slicing up some green leaves.	2.25
925b6abc-1fc0-429d-b413-874e97e30b91	The next court session will be when the three-judge tribunal announces its verdict in mid-February.	The court's three-judge tribunal was expected to give its verdict next February.	4.2
c1d76f8c-7303-4e40-9ebc-d7f980617e48	A tan dog jumps up to catch a tennis ball.	A red dog jumps an catches a tennis ball in its mouth.	3.0
6063b4fb-55f6-4e74-b383-0ae0e3b353ff	Geraldine Andrews, the pastor's daughter-in-law, said Robinson recently took her daughter out of a mental health facility.	Geraldine Andrews, Reynolds' daughter-in-law and a friend of Wilson's family, said Robinson had recently taken Wilson out of a mental health facility.	4.0
b88ad6be-352e-4dbf-a704-c25bc6eccbcf	I had the same problem as you.	I have just had the same problem.	5.0
52596861-8a0d-4459-b033-ec7a4ff0191c	Thanks to the euro's rise against the Japanese currency, the dollar was at 117.24 yen, well above the overnight 10-month low of 116 yen.	The euro's rise against the yen and speculation of Japanese intervention helped the dollar firm to 117.25 yen , well above a 10-month low of 116 yen hit on Thursday.	4.25
7055ff79-242d-4a62-aff6-75ccf8e6eb30	A cat reclines on an office chair.	A ginger cat sitting on an office chair.	3.8
eb9eab7b-ca51-4799-9a53-591840a28b87	Toyland by Johnny Mathis We are all vessels filled with many wonders.	Eye of the Tiger We are all vessels filled with many wonders.	3.2
8caa455a-87f1-4bb0-8082-797b02a49829	US warns Syria on chemical weapons	U.S. concerns grow about Syria's chemical weapons	3.2
c0efcb2c-bffe-4013-951a-bfd528b5dadc	You can use it, too.	Yes, you can do it.	3.0
