id	sentence	sentiment
46c24037-12c2-4461-a808-7277a3040c2e	The Way Home is an ode to unconditional love and compassion garnered from years of seeing it all , a condition only the old are privy to , and ... often misconstrued as weakness .	3
da7b504d-0be2-436e-8c9f-529717dee383	The sight of the spaceship on the launching pad is duly impressive in IMAX dimensions , as are shots of the astronauts floating in their cabins .	3
353cbb54-3338-4b54-867a-2cc1ab4a5c9b	Lurid and less than lucid work .	1
9908be6c-d62f-4df6-8e71-62c0167fe7a2	A lot more dimensional and complex than its sunny disposition would lead you to believe .	3
cf2f27ca-7c34-4b46-af98-3d1ee7d5308b	Nothing debases a concept comedy quite like the grinding of bad ideas , and Showtime is crammed full of them .	0
1dd4ab96-eeda-4b76-b123-f6e0ae7bcc99	Simone is not a bad film .	3
8eb290d5-aa6b-4a4f-b7a9-7ba9dfb06ea7	Yes , Spirited Away is a triumph of imagination , but it 's also a failure of storytelling .	1
787b1853-36cd-46bb-aace-6970af7793ec	It turns out to be smarter and more diabolical than you could have guessed at the beginning .	4
b4c27b6b-5e0a-4219-997a-cf88fac6283a	Proves mainly that South Korean filmmakers can make undemanding action movies with all the alacrity of their Hollywood counterparts .	2
d37d57ec-4ae1-4033-83e4-e7069d37dc3d	That death is merely a transition is a common tenet in the world 's religions .	2
1e49779c-0223-4935-88d3-9bb5d0d88187	But they do n't fit well together and neither is well told .	1
343f08c3-b514-4a76-9ed1-083260a7f725	If you 're in the right B-movie frame of mind , it may just scare the pants off you .	3
edb0e03a-baa1-402e-b2a2-f99810f7fa37	( It ) highlights not so much the crime lord 's messianic bent , but Spacey 's .	2
cc516625-6493-4b9f-8b39-8f2991d9ef15	Beautiful , angry and sad , with a curious sick poetry , as if the Marquis de Sade had gone in for pastel landscapes .	3
e2b432b3-0b5a-4ae8-8096-9304fb2bebb1	journalism of the 1960s .	2
061ce99c-c1b7-43f2-9879-7fe988142aa8	American musical comedy as we know it would n't exist without the precedent of Yiddish theater , whose jolly , fun-for-fun 's - sake communal spirit goes to the essence of Broadway .	3
aaacb28a-07ab-4aa8-b81b-a343d2680d8e	Watching a Brian DePalma movie is like watching an Alfred Hitchcock movie after drinking twelve beers .	1
d76b8759-98cc-4600-b7d7-c523b4b59c4f	... a cinematic disaster so inadvertently sidesplitting it 's worth the price of admission for the ridicule factor alone .	1
1600ab55-4cac-4b4d-9dba-bbf8c44530f0	Less an examination of neo-Nazism than a probe into the nature of faith itself .	3
f9f46dc9-5d8b-4a27-9419-17e6927d3dc0	A teasing drama whose relentless good-deed\/bad-deed reversals are just interesting enough to make a sinner like me pray for an even more interesting , less symmetrical , less obviously cross-shaped creation .	3
afc6672f-633f-4340-ab0f-80d132ba0eb1	A showcase for both the scenic splendor of the mountains and for legendary actor Michel Serrault , the film is less successful on other levels .	3
a20c8b4c-e5e1-4b08-829e-82ca9efc7623	The thrill is ( long ) gone .	1
697e36bd-7edf-4f0b-803f-14b47320eccc	Bennett 's naturalistic performance speaks volumes more truth than any ` reality ' show , and anybody contemplating their own drastic life changes should watch Some Body first .	4
09bc400e-683c-439d-9a16-21aac772cfc8	Hilarious musical comedy though stymied by accents thick as mud .	2
ffeb5a0a-cf93-4faf-a666-9dbc0f744bd6	Just like every other Seagal movie , only louder and without that silly ponytail .	2
dbe2cc61-a547-4e9b-9702-8f1109f713a8	With a story as bizarre and mysterious as this , you do n't want to be worrying about whether the ineffectual Broomfield is going to have the courage to knock on that door .	1
